Krank_Acisi_deg,Simscape_theta3_deg,Simscape_theta5_deg,Simscape_omega3_deg_s,Simscape_omega5_deg_s,Simscape_alpha3_deg_s2,Simscape_alpha5_deg_s2
111,-110.969246718996,-81.8814247539301,-55.5516384914284,-172.79809601127,796.99325297077,-1172.377896803
112,-111.120492839628,-82.3659417662729,-53.3494450483913,-176.053718880046,788.619535450561,-1171.44235691368
113,-111.265653803431,-82.8594967720373,-51.1702323180035,-179.304793199875,780.447256542613,-1169.0855123706
114,-111.404792667813,-83.362071517381,-49.0134399908816,-182.547224119451,772.476885796096,-1165.20113439843
115,-111.53797093253,-83.873635959935,-46.8785070692768,-185.776617311722,764.70845540159,-1159.67988438287
116,-111.665248539414,-84.394147425377,-44.7648730322227,-188.988270826648,757.141595561996,-1152.40967911106
117,-111.786683875206,-84.9235497428721,-42.6719789060265,-192.177168057491,749.775567300435,-1143.27612817032
118,-111.902333777237,-85.4617723627617,-40.599268247008,-195.337972028435,742.609292857114,-1132.16304875791
119,-112.01225354173,-86.0087294604747,-38.5461880429851,-198.465021225455,735.641383821531,-1118.95306278226
120,-112.116496934492,-86.564319031272,-36.5121895395927,-201.552327205189,728.87016714056,-1103.52828059447
121,-112.215116203809,-87.1284219811014,-34.4967289971522,-204.593574227664,722.293709136912,-1085.77107495715
122,-112.308162095355,-87.7009012195371,-32.499268383438,-207.582121167466,715.909837666579,-1065.5649479157
123,-112.395683868933,-88.2816007614941,-30.519276007336,-210.511005963813,709.716162537835,-1042.79549206704
124,-112.477729316914,-88.8703448451334,-28.5562270980617,-213.372952872189,703.710094308459,-1017.35144630799
125,-112.554344784199,-89.4669370741049,-26.6096043342891,-216.160382778225,697.888861572105,-989.125844480922
126,-112.625575189597,-90.0711595929868,-24.6788983272341,-218.865426827471,692.24952683901,-958.017253412778
127,-112.69146404848,-90.682772305473,-22.7636080614657,-221.479943612016,686.789001110781,-923.931094671306
128,-112.75205349661,-91.3015121454999,-20.8632412969322,-223.995540135867,681.504057243664,-886.781041950738
129,-112.807384315032,-91.9270924120888,-18.9773149354468,-226.403596754917,676.391342189555,-846.490483374746
130,-112.857495955937,-92.5592021791796,-17.1053553546324,-228.695296253717,671.447388199133,-802.994035202807
