Krank_Acisi_deg,Analitik_theta3_deg,Simscape_theta3_deg,Hata_theta3_deg,Analitik_theta5_deg,Simscape_theta5_deg,Hata_theta5_deg,Analitik_omega3_deg_s,Simscape_omega3_deg_s,Hata_omega3_deg_s,Analitik_omega5_deg_s,Simscape_omega5_deg_s,Hata_omega5_deg_s,Analitik_alpha3_deg_s2,Simscape_alpha3_deg_s2,Hata_alpha3_deg_s2,Analitik_alpha5_deg_s2,Simscape_alpha5_deg_s2,Hata_alpha5_deg_s2
32,-75.4496922181615,-75.4496920855746,1.32586890799757e-07,-67.0951974708822,-67.095197470885,-2.8421709430404e-12,-239.993435628485,-239.993435856612,-2.28127419177326e-07,14.6784892795607,14.6784892795597,-1.04627417840675e-12,-498.087907567873,-498.087912749729,-5.18185578357588e-06,-606.889387972345,-606.88938797235,-4.77484718430787e-12
33,-76.1181443799064,-76.1181442442246,1.35681816004762e-07,-67.0567685760646,-67.0567685760665,-1.86162196769146e-12,-241.249773645114,-241.249773889179,-2.44064978005554e-07,12.9891190734263,12.9891190734257,-6.12843109593086e-13,-406.623414405494,-406.623419479387,-5.07389364656774e-06,-609.472639419275,-609.47263941928,-4.43378667114303e-12
34,-76.7897347420334,-76.7897346037822,1.38251223802399e-07,-67.0230424633685,-67.0230424633697,-1.15107923193136e-12,-242.253424956991,-242.253425216041,-2.59050295881025e-07,11.292442132847,11.2924421328465,-5.09814412907872e-13,-316.206364065433,-316.206368992882,-4.92744840130399e-06,-612.150972261818,-612.150972261821,-3.18323145620525e-12
35,-77.4637658406817,-77.4637657004039,1.40277819582479e-07,-66.9940398017745,-66.9940398017751,-6.67910171614494e-13,-243.007731925715,-243.007732198606,-2.72890900987477e-07,9.58818822158004,9.5881882215798,-2.34479102800833e-13,-227.14545138737,-227.145456132925,-4.74555514529129e-06,-614.928790908261,-614.928790908262,-1.70530256582424e-12
36,-78.1395506640521,-78.1395505223004,1.41751641535848e-07,-66.9697820278884,-66.9697820278888,-3.41060513164848e-13,-243.516869065128,-243.516869350546,-2.85417826262346e-07,7.87607489416494,7.87607489416478,-1.51878509768721e-13,-139.730782107225,-139.730786639113,-4.53188837923335e-06,-617.810481179162,-617.810481179163,-1.36424205265939e-12
37,-78.8164148896413,-78.8164147469716,1.42669748015578e-07,-66.9502913797815,-66.9502913797817,-1.84741111297626e-13,-243.785788656731,-243.785788953218,-2.96487257855915e-07,6.15580755101181,6.15580755101192,1.13686837721616e-13,-54.2319524137301,-54.2319567043606,-4.29063049267597e-06,-620.800407797783,-620.800407797785,-1.36424205265939e-12
38,-79.4936989634533,-79.4936988204168,1.43036487543213e-07,-66.9355909306666,-66.9355909306666,-4.2632564145606e-14,-243.820161521397,-243.820161827379,-3.05981842529945e-07,4.42707950065248,4.42707950065247,-7.99360577730113e-15,29.10351639615,29.1035123697862,-4.02636378993293e-06,-623.902911738249,-623.902911738248,5.6843418860808e-13
39,-80.1707600091111,-80.1707598662486,1.42862461416371e-07,-66.9257046223914,-66.9257046223914,1.4210854715202e-14,-243.626313943831,-243.626314257647,-3.13815576191701e-07,2.68957202958554,2.68957202958548,-6.17284001691587e-14,110.051382316843,110.05137857301,-3.74383266432687e-06,-627.122307404305,-627.122307404306,-4.54747350886464e-13
40,-80.8469735575757,-80.8469734154111,1.42164608973872e-07,-66.9206572987272,-66.9206572987272,0,-243.211161751043,-243.211162070975,-3.19931416470354e-07,0.942954480227815,0.942954480227721,-9.43689570931383e-14,188.411528368605,188.411524920682,-3.4479228361306e-06,-630.462879609586,-630.462879609586,3.41060513164848e-13
41,-81.5217350909399,-81.5217349499748,1.40965084938216e-07,-66.9204747384283,-66.9204747384283,2.8421709430404e-14,-242.582142529257,-242.582142853561,-3.24304039622803e-07,-0.813115662434315,-0.813115662434239,7.58282325818982e-14,264.008459383268,264.008456239827,-3.14344094931585e-06,-633.928880328181,-633.928880328182,-4.54747350886464e-13
42,-82.1944613964527,-82.1944612571617,1.39291003620201e-07,-66.9251836880381,-66.9251836880381,0,-241.747146927348,-241.747147254282,-3.2693378670956e-07,-2.578992674811,-2.57899267481102,-2.57571741713036e-14,336.691466128485,336.691463293446,-2.83503845821542e-06,-637.52452518216,-637.52452518216,0
43,-82.8645917294941,-82.8645915923206,1.37173486791653e-07,-66.9348118944149,-66.9348118944149,2.8421709430404e-14,-240.714449941682,-240.714450269532,-3.27850784742623e-07,-4.35504248851091,-4.35504248851079,1.20792265079217e-13,406.334478634507,406.334476107409,-2.52709861570111e-06,-641.25398963038,-641.25398963038,4.54747350886464e-13
44,-83.531588786616,-83.5315886519691,1.34646953142692e-07,-66.949388136947,-66.949388136947,1.4210854715202e-14,-239.492643009944,-239.492643337052,-3.27108381270591e-07,-6.14164257309848,-6.14164257309843,5.32907051820075e-14,472.835635094537,472.835632870895,-2.22364144519815e-06,-645.121404820526,-645.121404820526,2.27373675443232e-13
45,-84.1949394919544,-84.194939360206,1.31748336684723e-07,-66.9689422594261,-66.9689422594261,-2.8421709430404e-14,-238.090567663371,-238.090567988154,-3.24783258065509e-07,-7.93918180681386,-7.93918180681368,1.75859327100625e-13,536.116596117553,536.116594189307,-1.92824586520146e-06,-649.130853063746,-649.130853063746,-1.13686837721616e-13
46,-84.854155602285,-84.8541554737686,1.28516461472827e-07,-66.9935052015434,-66.9935052015435,-9.9475983006414e-14,-236.517251400535,-236.517251721504,-3.2096897939482e-07,-9.74806033414954,-9.74806033414971,-1.74082970261225e-13,596.121636436343,596.121634792287,-1.64405537361745e-06,-653.286362888614,-653.286362888615,-5.6843418860808e-13
47,-85.5087741377096,-85.5087740127186,1.24990961580806e-07,-67.0231090299704,-67.0231090299706,-2.1316282072803e-13,-234.781846354683,-234.781846670459,-3.15776020443082e-07,-11.56868940905,-11.5686894090502,-2.43360886997834e-13,652.816547464965,652.816546091262,-1.37370318498142e-06,-657.591903628278,-657.591903628279,-1.02318153949454e-12
