Krank_Acisi_deg,theta2_deg,theta3_deg,theta4_deg,theta5_deg,omega2_deg_s,omega3_deg_s,omega4_deg_s,omega5_deg_s,alpha2_deg_s2,alpha3_deg_s2,alpha4_deg_s2,alpha5_deg_s2,Kisit_Kalintisi_mm,Newton_Iterasyon,Jacobian_Cond
33.5,-41.3606154059602,-76.4535910951472,-141.832954775296,-67.0393163977338,-196.199949933136,-241.782996345009,122.256060427525,12.1417105479557,970.299979025083,-361.264254654312,-74.2298717610752,-610.799644983477,2.8421709430404e-14,4,3.22692391903673
34,-41.6321677982206,-76.7897347420334,-141.663228104543,-67.0230424633685,-194.827122059751,-242.253424956991,122.149034005496,11.2924421328471,1006.47026091021,-316.206364065433,-79.8953468895968,-612.150972261818,0,4,3.2206576779114
34.5,-41.9017787975042,-77.1264884094559,-141.493655559843,-67.0079493797844,-193.404488873947,-242.661504469438,122.034108913732,10.4412796658489,1042.01490939404,-271.487799014855,-85.6040107215942,-613.527171281339,1.4210854715202e-14,4,3.21416765532741
35,-42.1693798421894,-77.4637658406817,-141.324248153333,-66.9940398017745,-191.932938665636,-243.007731925715,121.911224938934,9.58818822158012,1076.90627840569,-227.145451387371,-91.3561942469662,-614.928790908261,2.1316282072803e-14,4,3.20745816507903
35.5,-42.4349036306194,-77.8014815045082,-141.155016981099,-66.9813164331683,-190.413397176905,-243.292654762575,121.780321402903,8.73313211319657,1111.11808941571,-183.214985767228,-97.1522359316989,-616.356378770665,2.8421709430404e-14,4,3.20053361794746
36,-42.6982841717872,-78.139550664052,-140.985973223833,-66.9697820278885,-188.846825676674,-243.516869065128,121.641337152145,7.87607489416494,1144.62546795326,-139.730782107226,-102.992481740786,-617.810481179162,2.8421709430404e-14,4,3.19339851435406
36.5,-42.9594568333141,-78.4778894430596,-140.817128147499,-66.9594393910039,-187.234218988346,-243.681017746035,121.49421054744,7.0169793601493,1177.40497478437,-96.7258839715312,-108.87728515644,-619.291643045339,1.4210854715202e-14,4,3.18605743700594
37,-43.2183583866597,-78.8164148896413,-140.648493104013,-66.9502913797815,-185.576603477858,-243.785788656731,121.338879453392,6.15580755101188,1209.43463175929,-54.2319524137296,-114.807007191474,-620.800407797783,0,4,3.1785150435552
37.5,-43.4749270495154,-79.1550450373397,-140.480079531941,-66.9423409047344,-183.875035009518,-243.831912638516,121.175281227964,5.29252075293299,1240.69394236619,-12.2792255185577,-120.78201639769,-622.337317295464,1.4210854715202e-14,4,3.17077605929183
38,-43.7291025253394,-79.4936989634533,-140.31189895721,-66.9355909306666,-182.130596876922,-243.820161521397,121.003352712003,4.42707950065248,1271.16390705591,29.1035163961499,-126.802688869133,-623.902911738249,1.4210854715202e-14,4,3.1628452698898
38.5,-43.9808260400055,-79.8322968445498,-140.143962993833,-66.9300444777157,-180.344397716189,-243.751346078496,120.823030218768,3.55944357983837,1300.82703342878,69.8889799514798,-132.869408240049,-625.497729574329,2.8421709430404e-14,4,3.1547275142249
39,-44.2300403755456,-80.1707600091111,-139.97628334465,-66.9257046223914,-178.517569408528,-243.626313943831,120.634249523459,2.68957202958546,1329.66734139928,110.051382316843,-138.98256567739,-627.122307404305,2.8421709430404e-14,4,3.14642767728198
39.5,-44.4766899009752,-80.5090109872663,-139.808871802081,-66.9225744986102,-176.651264979054,-243.445947501106,120.436945852765,1.8174231450506,1357.67036347702,149.566469347734,-145.142559867679,-628.777179881692,1.4210854715202e-14,4,3.13795068316828
40,-44.7207206002021,-80.8469735575757,-139.641740248896,-66.9206572987272,-174.746656498509,-243.211161751043,120.231053874432,0.942954480227816,1384.8231403235,188.411528368605,-151.349796998058,-630.462879609586,1.4210854715202e-14,4,3.12930148824855
40.5,-44.9620800970267,-81.1845727908431,-139.474900658999,-66.9199562745633,-172.804932994336,-242.922902164612,120.016507686865,0.0661228508705296,1411.11421176329,226.56539574155,-157.604690731342,-632.179937033226,2.1316282072803e-14,4,3.12048507441645
41,-45.200717677251,-81.5217350909399,-139.308365098225,-66.9204747384283,-170.827298377277,-242.582142529257,119.79324080876,-0.8131156624343,1436.53360344532,264.008459383268,-163.907662174863,-633.928880328181,1.4210854715202e-14,4,3.11150644251602
41.5,-45.4365843079216,-81.8583882326377,-139.142145725152,-66.9222160641399,-168.814969389399,-242.189882795046,119.561186168796,-1.69480571103385,1461.07280936475,300.722656412587,-170.259139842908,-635.710235283875,2.8421709430404e-14,4,3.10237060592545
42,-45.6696326537419,-82.1944613964527,-138.976254791929,-66.9251836880381,-166.769173579145,-241.747146927348,119.320276095374,-2.57899267481099,1484.72477046911,336.691466128485,-176.65955961253,-637.52452518216,7.105427357601e-15,4,3.09308258431468
